time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-08 00:00:00+00:00,2,2,15,2
2024-04-09 00:00:00+00:00,1,1,56,6
2024-04-10 00:00:00+00:00,3,3,16,4
2024-04-11 00:00:00+00:00,1,1,3,2
2024-04-12 00:00:00+00:00,2,2,32,3
2024-04-13 00:00:00+00:00,1,1,12,4
2024-04-14 00:00:00+00:00,1,1,23,1
2024-04-15 00:00:00+00:00,1,1,44,4
2024-04-16 00:00:00+00:00,4,2,29,2
2024-04-17 00:00:00+00:00,3,2,4,3
2024-04-18 00:00:00+00:00,5,2,6,4
2024-04-19 00:00:00+00:00,1,1,7,3
2024-04-20 00:00:00+00:00,5,2,24,6
2024-04-21 00:00:00+00:00,5,2,4,3
2024-04-22 00:00:00+00:00,1,1,3,2
2024-04-23 00:00:00+00:00,1,1,46,10
2024-04-24 00:00:00+00:00,5,2,10,5
2024-04-25 00:00:00+00:00,1,1,33,5
2024-04-26 00:00:00+00:00,5,2,6,3
2024-04-27 00:00:00+00:00,1,1,2,1
2024-04-28 00:00:00+00:00,5,2,6,2
2024-04-29 00:00:00+00:00,5,2,4,2
2024-04-30 00:00:00+00:00,1,1,11,3
2024-05-01 00:00:00+00:00,1,1,4,1
2024-05-02 00:00:00+00:00,2,2,4,2
2024-05-03 00:00:00+00:00,1,1,1,1
2024-05-04 00:00:00+00:00,5,2,3,2
2024-05-05 00:00:00+00:00,1,1,0,0
2024-05-06 00:00:00+00:00,2,2,0,0
2024-05-07 00:00:00+00:00,9,3,17,5
2024-05-08 00:00:00+00:00,1,1,0,0
2024-05-09 00:00:00+00:00,1,1,4,3
2024-05-10 00:00:00+00:00,5,2,3,2
2024-05-11 00:00:00+00:00,6,3,1,1
2024-05-12 00:00:00+00:00,1,1,3,1
2024-05-13 00:00:00+00:00,6,2,66,7
2024-05-14 00:00:00+00:00,5,2,103,8
2024-05-15 00:00:00+00:00,1,1,35,6
2024-05-16 00:00:00+00:00,1,1,18,3
2024-05-17 00:00:00+00:00,1,1,3,2
2024-05-18 00:00:00+00:00,1,1,4,1
2024-05-19 00:00:00+00:00,5,2,7,4
2024-05-20 00:00:00+00:00,1,1,20,4
2024-05-21 00:00:00+00:00,5,2,4,2
2024-05-22 00:00:00+00:00,1,1,5,1
2024-05-23 00:00:00+00:00,1,1,7,1
2024-05-24 00:00:00+00:00,1,1,8,5
2024-05-25 00:00:00+00:00,1,1,15,5
2024-05-26 00:00:00+00:00,1,1,50,5
2024-05-27 00:00:00+00:00,3,2,47,2
2024-05-28 00:00:00+00:00,5,2,28,7
